t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0,0,902.499,236.498,0.999998,0.00182643,1.9,0,0.0481651,0,0,0
0,0,903.035,235.988,0.999861,0.0166462,1.9,0,39.2461,0.190597,0,0
0,0,903.611,235.454,0.999506,0.0314296,1.9,0,15.7958,0.302101,0,0
0,0,903.99,234.972,0.999185,0.0403743,1.9,0,74.3608,0.339692,0,0
0,0,904.202,234.287,0.998687,0.0512228,1.9,0,52.7638,0.413176,0,0
0,0,904.143,233.49,0.997874,0.0651744,1.9,0,71.4651,0.264756,0,0
0,0,903.742,233.859,0.998098,0.0616489,1.9,0,-64.3461,-0.167319,0,0
0,0,904.226,234.029,0.998332,0.0577303,1.9,0,-0.210957,0,0,0
0,0,904.722,234.102,0.998244,0.0592281,1.9,0,7.61301,0.0131213,0,0
0,0,905.236,234.163,0.998267,0.0588408,1.9,0,-4.40719,0,0,0
0,0,905.783,234.204,0.998205,0.0598847,1.9,0,0.0145157,0,0,0
0,0,906.316,234.278,0.998226,0.0595425,1.9,0,-1.01622,0,0,0
0,0,906.835,234.305,0.998133,0.0610743,1.9,0,-2.28257,0.0109276,0,0
0,0,907.386,234.388,0.99815,0.060797,1.9,0,4.29991,0,0,0
0,0,907.941,234.454,0.998095,0.0616979,1.9,0,-0.490431,0,0,0
0,0,908.445,234.508,0.998104,0.0615454,1.9,0,2.01269,0,0,0
0,0,908.942,234.574,0.998052,0.0623841,1.9,0,2.44932,0,0,0
0,0,909.45,234.626,0.998084,0.0618737,1.9,0,1.54277,0,0,0
0,0,910.003,234.712,0.997988,0.0633996,1.9,0,1.93661,0,0,0
0,0,910.534,234.77,0.997988,0.0634017,1.9,0,-5.34821,0.0123154,0,0
0,0,911.032,234.847,0.997919,0.064476,1.9,0,0.31007,0,0,0
0,0,911.598,234.891,0.99792,0.0644696,1.9,0,2.48689,0.0174251,0,0
0,0,912.12,234.928,0.997953,0.0639589,1.9,0,-0.289988,0,0,0
0,0,912.662,234.996,0.997925,0.064388,1.9,0,1.93996,0,0,0
0,0,913.211,235.088,0.997934,0.0642503,1.9,0,-0.562464,0,0,0
0,0,913.784,235.164,0.997956,0.0639066,1.9,0,-3.80082,0,0,0
0,0,914.342,235.222,0.99797,0.0636817,1.9,0,-0.487077,0,0,0
0,0,914.902,235.308,0.997934,0.0642475,1.9,0,-0.99933,0,0,0
0,0,915.412,235.341,0.998019,0.0629062,1.9,0,0.583478,-0.0166965,0,0
0,0,915.919,235.428,0.998031,0.0627277,1.9,0,0.522614,-0.0111449,0,0
0,0,916.454,235.499,0.998,0.0632181,1.9,0,9.72385,0,0,0
0,0,916.951,235.571,0.998014,0.0629938,1.9,0,1.94289,0,0,0
0,0,917.499,235.609,0.998073,0.06205,1.9,0,-3.39421,0,0,0
0,0,918.065,235.687,0.998136,0.0610356,1.9,0,-4.19187,-0.0158353,0,0
0,0,918.606,235.747,0.998282,0.0585877,1.9,0,3.68865,-0.0272652,0,0
0,0,919.188,235.812,0.998558,0.0536786,1.9,0,3.65377,-0.0409539,0,0
0,0,919.713,235.864,0.998935,0.0461436,1.9,0,4.12056,-0.069468,0,0
0,0,920.236,235.914,0.999371,0.0354759,1.9,0,1.00383,-0.0638507,0,0
0,0,920.781,235.953,0.999752,0.0222777,1.9,0,-1.7479,-0.0705938,0,0
0,0,921.356,235.935,0.99999,0.004395,1.9,0,-3.80814,-0.131777,0,0
0,0,921.909,235.875,0.999818,-0.019071,1.9,0,9.15162,-0.140225,0,0
0,0,922.439,235.838,0.99913,-0.041704,1.9,0,14.8254,-0.160336,0,0
0,0,922.948,235.725,0.997787,-0.0664845,1.9,0,-2.47105,-0.175755,0,0
0,0,923.446,235.649,0.99615,-0.087665,1.9,0,4.66985,-0.143501,0,0
0,0,923.947,235.53,0.994388,-0.105792,1.9,0,-3.17189,-0.111348,0,0
0,0,924.435,235.381,0.993018,-0.11796,1.9,0,2.1323,-0.0555801,0,0
0,0,924.956,235.264,0.992249,-0.124264,1.9,0,1.36269,-0.0248934,0,0
0,0,925.45,235.129,0.992423,-0.12287,1.9,0,0.728105,0.0116673,0,0
0,0,925.992,235.044,0.993054,-0.11766,1.9,0,-2.80823,0.0383887,0,0
0,0,926.55,234.947,0.994351,-0.106146,1.9,0,-0.702288,0.0649711,0,0
0,0,927.043,234.815,0.995168,-0.0981885,1.9,0,-0.742662,0.0497338,0,0
0,0,927.546,234.772,0.99633,-0.0855972,1.9,0,1.8835,0.0396562,0,0
0,0,928.079,234.704,0.997338,-0.072912,1.9,0,-2.36951,0.0598264,0,0
0,0,928.608,234.662,0.998438,-0.0558791,1.9,0,1.34343,0.0759352,0,0
0,0,929.136,234.657,0.999449,-0.0331988,1.9,0,1.5068,0.120591,0,0
0,0,929.671,234.703,0.999979,0.00654249,1.9,0,1.30264,0.165427,0,0
0,0,930.185,234.772,0.999319,0.0369116,1.9,0,-2.97937,0.0320959,0,0
